fileName,rms_mean,rms_std,decreaseslope_mean,fluctuation_max,eventdensity_mean,zerocross_mean,zerocross_std,rolloff_mean,rolloff_std,brightness_mean,brightness_std,centroid_mean,centroid_std,spread_mean,spread_std,skewness_mean,skewness_std,kurtosis_mean,kurtosis_std,flatness_mean,flatness_std,entropy_mean,entropy_std,mfcc_mean_1,mfcc_mean_2,mfcc_mean_3,mfcc_mean_4,mfcc_mean_5,mfcc_mean_6,mfcc_mean_7,mfcc_mean_8,mfcc_mean_9,mfcc_mean_10,mfcc_mean_11,mfcc_mean_12,mfcc_mean_13,mfcc_std_1,mfcc_std_2,mfcc_std_3,mfcc_std_4,mfcc_std_5,mfcc_std_6,mfcc_std_7,mfcc_std_8,mfcc_std_9,mfcc_std_10,mfcc_std_11,mfcc_std_12,mfcc_std_13,flux_mean,flux_std,lowenergy,novelty_mean,novelty_std,pitch_mean,pitch_std,chromagram_center_mean_1,chromagram_center_mean_2,chromagram_center_mean_3,chromagram_center_mean_4,chromagram_center_mean_5,chromagram_center_mean_6,chromagram_center_mean_7,chromagram_center_mean_8,chromagram_center_mean_9,chromagram_center_mean_10,chromagram_center_mean_11,chromagram_center_mean_12,chromagram_center_std_1,chromagram_center_std_2,chromagram_center_std_3,chromagram_center_std_4,chromagram_center_std_5,chromagram_center_std_6,chromagram_center_std_7,chromagram_center_std_8,chromagram_center_std_9,chromagram_center_std_10,chromagram_center_std_11,chromagram_center_std_12,key_mean,key_std,mode_mean,mode_std,hcdf_mean,hcdf_std,inharmonicity_mean,inharmonicity_std,chromagram_mean_1,chromagram_mean_2,chromagram_mean_3,chromagram_mean_4,chromagram_mean_5,chromagram_mean_6,chromagram_mean_7,chromagram_mean_8,chromagram_mean_9,chromagram_mean_10,chromagram_mean_11,chromagram_mean_12,chromagram_std_1,chromagram_std_2,chromagram_std_3,chromagram_std_4,chromagram_std_5,chromagram_std_6,chromagram_std_7,chromagram_std_8,chromagram_std_9,chromagram_std_10,chromagram_std_11,chromagram_std_12,loudness_mean,loudness_std,energy_mean,energy_std,perceptual_sharp_mean,perceptual_sharp_std,spectral_slope_mean,spectral_slope_std,spectral_var_mean,spectral_var_std
mix_between_human_indicator_1-12_1-6.wav,0.057916431,0.181648738,0.206974753,0.078079838,0.180148766,0.080720214,0.321308424,0.128488935,0.12155568,0.256286453,0.255128268,0.075688855,0.069338544,0.115824366,0.195988907,0.542688255,0.249783171,0.31650304,0.174771643,0.046742005,0.114604325,0.572988471,0.182888638,0.708766214,0.530649279,0.735763828,0.325934937,0.646020761,0.257557602,0.704385657,0.464569113,0.684458412,0.32804071,0.496501064,0.491178922,0.512548823,0.387758393,0.231397024,0.265437537,0.267710925,0.326774155,0.394439815,0.318298497,0.290374297,0.240132509,0.202135304,0.152122869,0.156792443,0.199137793,0.074721656,0.245061311,0.787791848,0.113968641,0.07707598,0.145151025,0.349336749,0.648030732,0.540890051,0.435500341,0.322618721,0.346057262,0.254403424,0.319279023,0.295505226,0.397021309,0.446674866,0.658979288,0.677066365,0.782725873,0.744445166,0.787833868,0.806456226,0.760602086,0.725138669,0.750616277,0.709675541,0.447195237,0.777249351,0.74322775,0.768888607,0.555945182,0.843656789,0.459589186,0.704807318,0.467641279,0.262641696,0.919382442,0.108205319,0.771533321,0.706313402,0.647174375,0.603870091,0.650702995,0.533046178,0.516265241,0.506204632,0.527391213,0.691785127,0.797280929,0.79134352,0.465688525,0.505258262,0.43851972,0.506845347,0.474650972,0.475361689,0.449946864,0.513498313,0.449448933,0.449156843,0.486862624,0.449087715,0.191118469,0.347575822,0.058353871,0.18101029,0.176588584,0.352935181,0.114803625,0.356060606,0.49630898,0.199964799
mix_between_human_indicator_1-6_1-12.wav,0.029380209,0.090423267,0.196133565,0.07067627,0.180148766,0.078889996,0.315965933,0.15657901,0.222033714,0.271329076,0.260307452,0.101282121,0.133305294,0.223017272,0.419551911,0.468023644,0.350322764,0.220190656,0.210101738,0.112770869,0.308073301,0.595437077,0.216399993,0.689716136,0.559860671,0.685609372,0.382121507,0.595113767,0.313140858,0.655172262,0.508665027,0.646844326,0.357845318,0.47307735,0.506613959,0.499211677,0.360545863,0.243295398,0.281057269,0.25055711,0.341506551,0.382092266,0.330567779,0.288759222,0.243512839,0.199637272,0.148408635,0.15533251,0.196798121,0.038280655,0.121900864,0.796377692,0.132144261,0.093056667,0.154349003,0.376629703,0.653850848,0.54767511,0.437206445,0.317656126,0.342006448,0.254160089,0.315033145,0.293759573,0.398772296,0.444540567,0.657880787,0.678628742,0.774163978,0.741911383,0.784252439,0.808934146,0.757180333,0.732121632,0.760387261,0.716080292,0.444701243,0.780181855,0.742733179,0.762968357,0.565952219,0.834643941,0.462530293,0.704982483,0.46575071,0.256319141,0.90891988,0.123069265,0.775608058,0.711316758,0.648905832,0.602845281,0.649825045,0.534340137,0.515449356,0.506335134,0.530010447,0.6925372,0.796419373,0.792756427,0.464079391,0.506576057,0.437775512,0.504390498,0.47142408,0.476406676,0.452305648,0.516932094,0.453464584,0.447300883,0.488677043,0.445115335,0.139904393,0.240592868,0.029598002,0.090091808,0.204845435,0.335578643,0.132930514,0.34469697,0.508386712,0.214739553
mix_between_human_indicator_1-6_1-6.wav,0.058108144,0.181268433,0.206227745,0.076272893,0.180148766,0.079320629,0.308780471,0.140393345,0.19983506,0.260993169,0.25997235,0.083232081,0.115822494,0.132058198,0.246303308,0.516854279,0.27369588,0.285356345,0.18384278,0.061556488,0.162629331,0.578356616,0.193066427,0.701148169,0.542226186,0.715830273,0.350517865,0.624221453,0.280453577,0.682382668,0.483063295,0.670109351,0.339279425,0.485459752,0.498907538,0.506084967,0.373724833,0.232526616,0.26262033,0.268980618,0.335891756,0.383588365,0.332767999,0.286210662,0.239779111,0.192434042,0.152557283,0.152723955,0.2008133,0.075176975,0.244569658,0.792078881,0.109374508,0.069938465,0.144862265,0.349210959,0.64813994,0.54254449,0.431884418,0.319899707,0.350224635,0.257117543,0.317049252,0.293218984,0.397997434,0.44691732,0.659413579,0.678265398,0.77436565,0.745858238,0.791281232,0.814621718,0.765306995,0.734432779,0.754504028,0.708001572,0.446973258,0.773259549,0.746404994,0.767004891,0.556815878,0.843915036,0.45997153,0.718246399,0.467277708,0.25799735,0.918727015,0.111409481,0.772481661,0.707793562,0.645824251,0.603183469,0.652551311,0.535354602,0.516614906,0.505802253,0.528960339,0.693536221,0.798091805,0.792756427,0.462865946,0.508100566,0.439611226,0.507974578,0.479918804,0.479404138,0.450048317,0.512669469,0.453844442,0.447039889,0.486936181,0.446409196,0.19348376,0.3444487,0.058544381,0.180632536,0.184976482,0.337910296,0.116314199,0.34469697,0.500550161,0.196159906
mix_between_human_indicator_2-12_2-6.wav,0.034239084,0.044759032,0.261879816,0.083218042,0.340900151,0.160496758,0.287263635,0.292328471,0.114858389,0.558155722,0.26237019,0.195098152,0.063163228,0.243512563,0.084057107,0.251791313,0.106131065,0.058925313,0.031392217,0.158335564,0.097747983,0.752684072,0.144103012,0.516040603,0.43531818,0.324103864,0.485572779,0.260298487,0.48035305,0.491634294,0.617383712,0.50377131,0.403507406,0.353770684,0.516508264,0.49646912,0.172632677,0.296433312,0.121759939,0.200741086,0.116279469,0.238807666,0.212657377,0.244944739,0.214103967,0.192262944,0.148343473,0.156642156,0.203605812,0.042394634,0.067704944,0.626780768,0.236235517,0.325740976,0.333128512,0.309231955,0.651371196,0.563760968,0.484992011,0.343447373,0.33402433,0.23087482,0.263682682,0.249403099,0.370590455,0.42309779,0.719141381,0.72490659,0.733297888,0.754872661,0.771822775,0.755567419,0.699028365,0.631900423,0.679793846,0.659565641,0.391765904,0.69603693,0.649094411,0.684944517,0.57087821,0.84404416,0.391673137,0.642068898,0.404670796,0.20148463,0.897219289,0.179433067,0.76680204,0.722782783,0.678557037,0.617336089,0.636725108,0.513388342,0.473267067,0.47118677,0.503576703,0.671973078,0.834520422,0.822293406,0.466664556,0.492674608,0.434029664,0.461676122,0.455923967,0.441729618,0.423163256,0.48901782,0.403024761,0.430336248,0.425687273,0.386710007,0.199731953,0.19938991,0.034204415,0.045013313,0.315799313,0.262804589,0.212990937,0.295454545,0.539778609,0.173066084
mix_between_human_indicator_2-6_2-12.wav,0.064379894,0.076264858,0.260347493,0.087721973,0.843000486,0.168179679,0.278942218,0.297360553,0.11344751,0.576993069,0.2449933,0.200090237,0.058414463,0.231721459,0.084001825,0.238694423,0.102613973,0.050884298,0.028381782,0.134789367,0.093006586,0.757731959,0.105054271,0.513706522,0.431196752,0.320134639,0.478948283,0.25377652,0.472451647,0.484524521,0.60970774,0.496370759,0.396626068,0.346601394,0.512138908,0.491034698,0.180436862,0.2961415,0.125936803,0.206687915,0.119971153,0.237709264,0.210487715,0.244544675,0.211998943,0.193905485,0.143847295,0.154624014,0.203077499,0.078385091,0.110140578,0.598314395,0.146891025,0.111005419,0.3322835,0.320102505,0.651615307,0.560030734,0.485520394,0.348707286,0.335212057,0.22759292,0.268065523,0.249893008,0.370706181,0.422416107,0.715903357,0.723525885,0.731409504,0.752891112,0.772550552,0.75814512,0.692541293,0.633881405,0.684868565,0.662294939,0.394312128,0.684805637,0.661743438,0.689171007,0.59992128,0.832732907,0.410849156,0.642467886,0.403280137,0.193327752,0.936884778,0.06658627,0.767573218,0.722042704,0.680226656,0.620605232,0.639162574,0.513999091,0.477791517,0.473568419,0.505109619,0.673611922,0.833537235,0.823170027,0.465002664,0.489444717,0.430234202,0.466929499,0.45225579,0.439639645,0.428565631,0.490705109,0.410974663,0.425609349,0.430076206,0.384530873,0.272825248,0.277876665,0.064284833,0.076973387,0.322426346,0.252838985,0.217522659,0.291666667,0.540958965,0.129460653
mix_between_human_indicator_2-6_2-6.wav,0.065423843,0.07795642,0.260041028,0.087362251,0.823835355,0.166558024,0.282264524,0.295054003,0.112342674,0.570388991,0.248839524,0.197461506,0.058915481,0.231516015,0.083338438,0.239424313,0.101667875,0.051318659,0.028429275,0.133584026,0.090920842,0.755779906,0.111327185,0.51409388,0.431504321,0.320679606,0.480196024,0.254758659,0.475153806,0.487079891,0.611517596,0.497670914,0.398885398,0.347947526,0.513196845,0.490284069,0.180393864,0.288968588,0.119758525,0.199147492,0.124899123,0.239413681,0.20883755,0.247256224,0.216992612,0.195770455,0.146953351,0.156663625,0.203983179,0.080035098,0.114047997,0.618053593,0.163050852,0.19203721,0.317191607,0.355740659,0.655097098,0.563767164,0.485469465,0.348207875,0.333205462,0.226351288,0.264926313,0.250872826,0.36942313,0.422023262,0.716222689,0.723931619,0.722590936,0.74860317,0.770999238,0.757745992,0.69316505,0.630266112,0.682804272,0.662658845,0.397550402,0.689693144,0.657966714,0.690326564,0.579740223,0.841203435,0.400008235,0.613040093,0.40537067,0.204372711,0.936399277,0.063578425,0.768917568,0.723960657,0.679505215,0.620338782,0.636771316,0.512052976,0.475206117,0.472448283,0.502949052,0.673084349,0.83279731,0.822004637,0.465371974,0.486499057,0.431747426,0.463026289,0.452697075,0.437907167,0.424355329,0.491918773,0.408912573,0.422071425,0.431228607,0.388866442,0.275440646,0.27894331,0.065334325,0.078635616,0.318790014,0.252824173,0.214501511,0.291666667,0.541370787,0.148779211
mix_between_human_indicator_3-12_3-6.wav,0.013871281,0.028882124,0.248136791,0.135958445,0.40222694,0.273736806,0.370040788,0.568674139,0.116981815,0.650623299,0.576058987,0.431494994,0.331338162,0.508066953,0.205247599,0.092253919,0.155605998,0.010949808,0.007947747,0.346200583,0.328866119,0.769840786,0.36719511,0.465147693,0.78324055,0.552348895,0.622174336,0.297570864,0.794672082,0.278106873,0.813762181,0.435168762,0.626411212,0.436476662,0.556847001,0.777859376,0.361760564,0.135729952,0.162723663,0.136595667,0.230498463,0.411521854,0.287235668,0.301605741,0.276640075,0.314563871,0.165003226,0.192206537,0.253403091,0.015142953,0.046569295,0.69692794,0.210083786,0.284870829,0.224058634,0.746292405,0.49176126,0.713707679,0.42113405,0.262755871,0.676458655,0.247284321,0.392823098,0.403116272,0.595692973,0.359014723,0.334844198,0.404509698,0.733187885,0.689725182,0.776419261,0.699024299,0.862292289,0.608607369,0.708349891,0.749304939,0.550075734,0.671260259,0.78202909,0.792110554,0.378669148,0.77746788,0.394196607,0.79641884,0.620250173,0.477784217,0.914406049,0.217897032,0.57738406,0.781165699,0.555180407,0.474303411,0.791359817,0.422614482,0.479105409,0.494144132,0.619679983,0.521850502,0.488053258,0.502130705,0.664060398,0.558951965,0.564241292,0.586505203,0.65979734,0.556815651,0.49007155,0.612663549,0.585736845,0.641654704,0.734481812,0.665548347,0.088209223,0.136647737,0.013840761,0.028966293,0.485452498,0.275070802,0.407854985,0.284090909,0.392344622,0.382207635
mix_between_human_indicator_3-6_3-12.wav,0.020474421,0.038379033,0.163274805,0.112341301,0.271910573,0.113412264,0.348796608,0.439338767,0.294423776,0.389825107,0.639132593,0.257104527,0.369993178,0.484901776,0.1905286,0.191107684,0.274068692,0.032010966,0.041197195,0.278267,0.277415792,0.618053437,0.545569523,0.580153354,0.746084643,0.497301393,0.67037745,0.359627416,0.680799389,0.350391106,0.776282701,0.482732048,0.571584821,0.452152804,0.607690145,0.680342625,0.356176164,0.156457974,0.120661337,0.126982276,0.183742853,0.388284978,0.308947561,0.278787241,0.255497646,0.28207234,0.154837953,0.194804358,0.257206945,0.015680026,0.025985059,0.714759172,0.199850791,0.397903355,0.176825638,0.66593676,0.554985964,0.634920438,0.465352712,0.289843258,0.518269607,0.274681325,0.327305101,0.301665691,0.442260183,0.399868583,0.556090614,0.580350384,0.776107363,0.776231159,0.790630063,0.758910115,0.866516015,0.686575541,0.754504028,0.734057264,0.511843205,0.738428577,0.827529618,0.803982714,0.500602331,0.810962619,0.425748806,0.729865707,0.620322887,0.443654125,0.871244948,0.353004691,0.685786669,0.756274,0.642155211,0.555417092,0.72357284,0.50862657,0.490008593,0.478527471,0.536347303,0.626770176,0.707800731,0.700535873,0.54622434,0.543164259,0.493739969,0.542047884,0.611559444,0.547053275,0.490477362,0.56760997,0.506889011,0.532153059,0.629490688,0.552483078,0.095665046,0.161429278,0.020452989,0.038460931,0.358272356,0.319080595,0.261329305,0.356060606,0.303294152,0.348788527
mix_between_human_indicator_3-6_3-6.wav,0.022602595,0.041609638,0.218428871,0.129120811,0.386895243,0.176314536,0.363396779,0.512764007,0.18663157,0.511560282,0.652201563,0.33341753,0.380124789,0.490774877,0.157631466,0.132420457,0.21989844,0.01671577,0.021161334,0.283985362,0.269384206,0.691133411,0.483707466,0.527373314,0.769326116,0.516917293,0.651480606,0.328880501,0.738827456,0.306490596,0.799810829,0.455157568,0.603252507,0.444353806,0.583431071,0.732912635,0.366001268,0.149699246,0.147984989,0.134030369,0.217071035,0.403757291,0.293240435,0.293456277,0.276271311,0.294134757,0.168054979,0.189597982,0.253689889,0.020251114,0.046217532,0.707833965,0.200801763,0.357689229,0.191726672,0.714160465,0.524112368,0.676870074,0.445176117,0.274969857,0.602207255,0.253598547,0.351635348,0.345126813,0.512199049,0.38101409,0.463113995,0.498967499,0.788941038,0.740027287,0.785842057,0.749231263,0.880666386,0.663282488,0.752697772,0.761241066,0.543233574,0.721212581,0.842171916,0.834422934,0.434536802,0.791206663,0.424766476,0.76459712,0.625376523,0.460299619,0.892922599,0.29047796,0.644643283,0.775161671,0.612390637,0.529735363,0.769364861,0.475708236,0.491587383,0.492197487,0.579800033,0.592129958,0.624513601,0.620154863,0.603889355,0.548564637,0.514602605,0.554150291,0.619419821,0.546750779,0.493774587,0.593244923,0.546964114,0.570838227,0.698585734,0.617947891,0.108064434,0.172004675,0.022569018,0.041738239,0.416089846,0.306864024,0.326283988,0.333333333,0.348679218,0.388780292
mix_between_human_indicator_4-12_4-6.wav,0.008714043,0.007657187,0.086409632,0.029745146,0.892826972,0.060445946,0.323139874,0.123554583,0.32865991,0.185067236,0.442949104,0.129432426,0.56835575,0.379356202,0.187637043,0.411709072,0.132414294,0.128702525,0.053914559,0.144249892,0.0779951,0.529951809,0.249349237,0.73355714,0.633155199,0.572941074,0.47806548,0.428062983,0.49436648,0.638780981,0.823525399,0.601687618,0.374135662,0.309696187,0.48890522,0.488809457,0.330339579,0.166323082,0.124729428,0.200987251,0.125809166,0.197049466,0.304272094,0.34039719,0.199215149,0.300499606,0.21912027,0.177220761,0.226957249,0.008587081,0.008119175,0.478253905,0.206460716,0.167751289,0.262294046,0.529858907,0.470326402,0.420026645,0.352921067,0.215787959,0.290572691,0.272778322,0.375856024,0.347728399,0.453676822,0.837337925,0.756356298,0.547552579,0.592585802,0.54643646,0.47498554,0.456786921,0.449240442,0.430021791,0.512018482,0.425137193,0.312036457,0.793527743,0.575778013,0.640131069,0.675743371,0.742113758,0.451530552,0.638322304,0.379202653,0.451420721,0.798176941,0.286264172,0.369124327,0.331760056,0.301769281,0.245094493,0.279283963,0.237340157,0.257492098,0.21840565,0.212624466,0.888322902,0.739739121,0.43679664,0.890948228,0.845223638,0.705392781,0.625635499,0.666664828,0.645254523,0.568824489,0.614883666,0.504718389,0.518175359,0.75841253,0.862374076,0.072790137,0.116752636,0.008712233,0.007707185,0.205607541,0.326188802,0.134441088,0.34469697,0.376892506,0.185901338
