FileName,SearchTerm,Duration,Class,FsID,FsUrl,Tags
r_0human101979_1313063-hq.mp3,cry,6,back,101979,http://www.freesound.org/people/Raffa%20Jaffa/sounds/101979/,"cry,field,istanbul,man,prayer,recording,temple"
r_0human102617_425689-hq.mp3,footsteps,6,back,102617,http://www.freesound.org/people/terranovateater/sounds/102617/,"footsteps,forest,gravel,trees,wind"
r_0human106261_1707984-hq.mp3,eat,6,back,106261,http://www.freesound.org/people/Greencouch/sounds/106261/,"chocolate,eat,eating,eating-noises,food,pack,packing-material,smack"
r_0human106568_7037-hq.mp3,shout,6,backfore,106568,http://www.freesound.org/people/Corsica_S/sounds/106568/,"band,cheer,crowd,drums,event,people,sports"
r_0human113598_1015240-hq.mp3,singing,6,back,113598,http://www.freesound.org/people/Timbre/sounds/113598/,"113379,acapella,capella,chapel,choir,church,ducis,english,female,field-recording,harmonious,harmony,holland,joy,joyous,klankbeeld,la,la-la,madrigal,male,men,music,netherlands,pastoral,pleasure,renaissance,reverb,reverberating,sing,singing,the-netherlands,women"
r_0human115208_1143716-hq.mp3,footsteps,6,back,115208,http://www.freesound.org/people/Omar%20Alvarado/sounds/115208/,"close,door,doorbell,etc,human,motor,rest,return,speaking,talk,unpack,unpack-items,walk"
r_0human117503_2101324-hq.mp3,footsteps,6,back,117503,http://www.freesound.org/people/DifferentSoundScapes/sounds/117503/,"field-recording,soundscapes,toulon,train"
r_0human118096_29541-hq.mp3,walk,6,back,118096,http://www.freesound.org/people/digifishmusic/sounds/118096/,"binaural,crowd,live,music,musikmesse,trade-show"
r_0human125859_43-hq.mp3,singing,6,back,125859,http://www.freesound.org/people/xserra/sounds/125859/,"carnatic,hyderabad,india,lesson,music,singing,voice,CompMusic"
r_0human127590_1648170-hq.mp3,laugh,6,back,127590,http://www.freesound.org/people/klankbeeld/sounds/127590/,"summer,atmosphere,human,crowd,people,rattle,relate,suburban,ambiance,down,talking,street,terrace,laugh,ambient,talk,soundscape,street-noise,chuckle,august,sonography,city,blab,group,discus,city-ambiance,down-town,atmos,city-centre,ambience,speak,public,multitude,urban,speaking,noise,field-recording,chatting,centre,chat,town,men,communicate,downtown,suburb,atmo,background,converse,chatter,white-noise,narrate,sound,woman,suburbia,tell,recording,conversation,audience,afternoon,environmental-sounds-research,laughter,background-sound"
r_0human128097_2338419-hq.mp3,laughing,6,fore,128097,http://www.freesound.org/people/Project_Trident/sounds/128097/,"insane,crazy,cackle,madman,manic,laughing,laugh,laughter"
r_0human128768_806506-hq.mp3,walk,6,back,128768,http://www.freesound.org/people/Benbojangles/sounds/128768/,"autumn,old,traditional,organ,fairground,park,steam-organ,London,waltzer,carousel,vintage,steam,fair,Battersea"
r_0human129783_1188483-hq.mp3,walk,6,fore,129783,http://www.freesound.org/people/aarom/sounds/129783/,"walking,pavement,steps,running"
r_0human131402_2337290-hq.mp3,laugh,6,fore,131402,http://www.freesound.org/people/ecfike/sounds/131402/,"boy,male,nerds,laugh,nerdy,voice,nerd,man"
r_0human138091_1839281-hq.mp3,footsteps,6,fore,138091,http://www.freesound.org/people/daboy291/sounds/138091/,"flat,walking,shoes,floor,female,tile,flats,footsteps"
