FileName,SearchTerm,Duration,Class,FsID,FsUrl,Tags
r_0mechanical109152_201367-hq.mp3,machine,6,back,109152,http://www.freesound.org/people/rfhache/sounds/109152/,"engine,field-recording,garden,lawn,lawnmower,machine,machinery,motor,mower,noise,outdoors,sound,start,stereo"
r_0mechanical111665_406409-hq.mp3,machine,6,back,111665,http://www.freesound.org/people/plopkot/sounds/111665/,"ambience,field-recording,machine"
r_0mechanical112812_1535323-hq.mp3,machine,6,back,112812,http://www.freesound.org/people/Julien%20Matthey/sounds/112812/,"coffee,coffee-machine,machine,robot"
r_0mechanical114288_1163762-hq.mp3,machine,6,back,114288,http://www.freesound.org/people/plingativator/sounds/114288/,"laundry,machine,washing"
r_0mechanical11598_31600-hq.mp3,metal,6,back,11598,http://www.freesound.org/people/samplecat/sounds/11598/,"basin,kitchen,waterdrop"
r_0mechanical120385_288-hq.mp3,metal,6,back,120385,http://www.freesound.org/people/melack/sounds/120385/,"ambiance,atmo,atmos,atmosphere,background,background-noise,boarding,bounce,clang,clatter,cremallera,electric,electric-train,electrical,express,field-recording,iron,junction,knock,local,locomotive,metal,noise,noises,passenger-train,pond,rail,rail-road,rail-way,railway,rattle,rattling,ride,riding,rumble,speed,station,track,train,trains,transport,transportation,travel,vibration,vibrations,way,wheel,wheels"
r_0mechanical132592_1634107-hq.mp3,machine,6,back,132592,http://www.freesound.org/people/hjwaters/sounds/132592/,"clank,groan,Metal,clang,water,creak"
r_0mechanical134783_2244250-hq.mp3,machine,6,fore,134783,http://www.freesound.org/people/Setuniman/sounds/134783/,"knock,hits,beat,hard,metallic,clack,mechanical,sharp,hammer,click,hammering"
r_0mechanical134922_2461495-hq.mp3,machine,6,back,134922,http://www.freesound.org/people/Syphon64/sounds/134922/,"Engine,Car,Train,Truck,Vehicle,Shunter"
r_0mechanical145013_2580450-hq.mp3,machine,6,fore,145013,http://www.freesound.org/people/Zabuhailo/sounds/145013/,"washing-machine,mechanical-timer,laundry,timer,USSR,washing,soviet"
r_0mechanical160545_2193194-hq.mp3,metal,6,back,160545,http://www.freesound.org/people/KeyKrusher/sounds/160545/,"atlas,idling,machine,lathe,continuum-4,sound-museum"
r_0mechanical160746_2898104-hq.mp3,metal,6,backfore,160746,http://www.freesound.org/people/kitefishlabs/sounds/160746/,"machine,various,long"
r_0mechanical165696_354987-hq.mp3,metal,6,fore,165696,http://www.freesound.org/people/pishpirika/sounds/165696/,"metal,screw-driver,tools,movie-sound,mechanical"
r_0mechanical166635_2015227-hq.mp3,machine,6,back,166635,http://www.freesound.org/people/Klerrp/sounds/166635/,"rattle,hard,drive,machine,hdd,motor,disk"
r_0mechanical167898_454894-hq.mp3,metal,6,fore,167898,http://www.freesound.org/people/decembered/sounds/167898/,"clank,hit,bong,drop,metal,clang,bang,construction,deconstruction,works,tubes"
